           ╭------------------------------------╮
      Name | Bolt Rats                          |
      Size | Small                              |
     Metal | 5                                  |
    Fabric | 0                                  |
       Oil | 1                                  |
        HP | 12                                 |
       ATK | 2                                  |
    Barter | 3:2 Metal:Fabric                   |
           | or 3:1 Metal:Oil                   |
     Build | Strong Magnet                      |
           | for 3 Metal                        |
    Battle | 12 HP. 2 ATK.                      |
           |  ⃠ Have Tote Bag                   |
      Card | 1                                  |
Est. Value | 1.75                               |
     Notes | Metal dealer. Good to beat if you  |
           | have a tote bag.                   |
      Back | Oil Nymph                          |
           ╰------------------------------------╯
           ╭------------------------------------╮
      Name | Friendly Can of Lube               |
      Size | Small                              |
     Metal | 2                                  |
    Fabric | 0                                  |
       Oil | 3                                  |
        HP | 8                                  |
       ATK | 2                                  |
    Barter | 3:2 Metal:Oil                      |
           | or 2:1 Fabric:Oil                  |
     Build | Fireball                           |
           | for 1 Fabric, 1 Oil                |
    Battle | 10 HP. 2 ATK.                      |
      Card | 2                                  |
Est. Value | 2.0                                |
     Notes | Oil dealer, but you need a good vo |
           | lume of Metal.                     |
      Back | Petulant Tig Welder                |
           ╰------------------------------------╯
           ╭------------------------------------╮
      Name | Socket Wrench Puppy                |
      Size | Small                              |
     Metal | 2                                  |
    Fabric | 0                                  |
       Oil | 1                                  |
        HP | 6                                  |
       ATK | 1                                  |
    Barter | Recover 3/6/10 HP for 1/2/3 Oil    |
     Build | Bandages                           |
           | for 1 Fabric, 1 Duct Tape          |
    Battle | 7 HP. 1 ATK.                       |
      Card | 3                                  |
Est. Value | 1.0                                |
     Notes | Healer. Doesn't give much but heal |
           | ing is awesome                     |
      Back | Jacket Wraith                      |
           ╰------------------------------------╯
           ╭------------------------------------╮
      Name | Minor Ductwork                     |
      Size | Small                              |
     Metal | 3                                  |
    Fabric | 3                                  |
       Oil | 1                                  |
        HP | 14                                 |
       ATK | 2                                  |
    Barter | +1 Duct Tape for 3 Fabric          |
           | or +2 Duct Tape for 4 Fabric       |
     Build | Shiny Shiv                         |
           | for 2 Metal, 1 Oil                 |
    Battle | 14 HP. 2 ATK.                      |
           |  ⃠ Ditch Bandages                  |
      Card | 4                                  |
Est. Value | 2.25                               |
     Notes | Duct tape dealer.                  |
      Back | Major Ductwork                     |
           ╰------------------------------------╯
           ╭------------------------------------╮
      Name | Rusted-out Toolbox                 |
      Size | Small                              |
     Metal | 4                                  |
    Fabric | 4                                  |
       Oil | 2                                  |
        HP | 10                                 |
       ATK | 3                                  |
    Barter | 4:3:2:1 for Metal:Fabric:Oil:Duct  |
           | Tape                               |
     Build | Oil Rag                            |
           | for 3 Fabric                       |
    Battle | 10 HP. 3 ATK.                      |
           | +1 Carry upon Defeat               |
      Card | 5                                  |
Est. Value | 3.333333333333333                  |
     Notes | General store. Everything is balan |
           | ced against him. An extra way to g |
           | et Carry too. Turns into Crusher t |
           | hough.                             |
      Back | The Crusher                        |
           ╰------------------------------------╯
           ╭------------------------------------╮
      Name | Tetanus Worms                      |
      Size | Small                              |
     Metal | 5                                  |
    Fabric | 0                                  |
       Oil | 2                                  |
        HP | 8                                  |
       ATK | 4                                  |
    Barter | +1 ATK for 1 Oil                   |
     Build | Whacking Plank                     |
           | for 2 Metal, 1 Fabric              |
    Battle | 8 HP. 4 ATK.                       |
           |  ⃠ Have Strong Magnet              |
      Card | 6                                  |
Est. Value | 2.25                               |
     Notes | Trainer. They bite!                |
      Back | Tap Spider                         |
           ╰------------------------------------╯
           ╭------------------------------------╮
      Name | Ugly Sweater Ghost                 |
      Size | Small                              |
     Metal | 1                                  |
    Fabric | 7                                  |
       Oil | 0                                  |
        HP | 15                                 |
       ATK | 2                                  |
    Barter | 2:2 Metal:Fabric                   |
     Build | Tote Bag                           |
           | for 3 Fabric                       |
    Battle | 13 HP. 2 ATK.                      |
           | +3 HP upon Defeat                  |
      Card | 7                                  |
Est. Value | 2.5833333333333335                 |
     Notes | Fabric dealer. Tote bags.          |
      Back | Sprocket Snake                     |
           ╰------------------------------------╯
           ╭------------------------------------╮
      Name | Sprocket Snake                     |
      Size | Big                                |
     Metal | 5                                  |
    Fabric | 5                                  |
       Oil | 5                                  |
        HP | 15                                 |
       ATK | 3                                  |
    Barter | 2:2 Metal:Oil                      |
           | or 1:1 Fabric:Oil                  |
     Build | Shiny Shiv                         |
           | for 2 Metal, 1 Oil                 |
    Battle | 15 HP. 3 ATK.                      |
